slice_type,slice_value,model,num_threads,mae,rmse,pearson,spearman
overall,all,affect_state_forecaster,92,0.10519883036613464,0.1745268702507019,-0.20580414210080983,-0.07548558645422913
overall,all,patchtst_baseline,92,0.10546157509088516,0.1713934689760208,-0.02700924838960847,0.34987095132891766
overall,all,thread_transformer_baseline,92,0.11836011707782745,0.17733491957187653,-0.11195826259729848,0.32117207417416793
event_name,prince-toronto,affect_state_forecaster,12,0.08101557940244675,0.08652499318122864,0.20339328468807402,0.2183565733705734
event_name,prince-toronto,patchtst_baseline,12,0.08800428360700607,0.09235484898090363,0.011998867909427372,-0.04397994971335425
event_name,prince-toronto,thread_transformer_baseline,12,0.11167171597480774,0.11378725618124008,0.193302412079985,0.04367131467411468
event_name,putinmissing,affect_state_forecaster,9,0.10185270011425018,0.12290623784065247,-0.6903859114777011,-0.6390096504226938
event_name,putinmissing,patchtst_baseline,9,0.0903177410364151,0.11013200879096985,0.14838907368725376,0.36667939881128453
event_name,putinmissing,thread_transformer_baseline,9,0.09872838854789734,0.11248146742582321,0.35595381519677993,0.5020790110464023
event_name,sydneysiege,affect_state_forecaster,71,0.10971030592918396,0.19049577414989471,-0.22772624131248956,-0.07831621715324524
event_name,sydneysiege,patchtst_baseline,71,0.11033172905445099,0.18731054663658142,-0.10631567144505844,0.3044217376985402
event_name,sydneysiege,thread_transformer_baseline,71,0.12197908014059067,0.19224201142787933,-0.21589603197879362,0.32575623122603403
flip_bucket,flip_down,affect_state_forecaster,12,0.08044255524873734,0.08207610249519348,nan,nan
flip_bucket,flip_down,patchtst_baseline,12,0.08859100192785263,0.08925998955965042,nan,nan
flip_bucket,flip_down,thread_transformer_baseline,12,0.12265580892562866,0.12345346808433533,nan,nan
flip_bucket,flip_up,affect_state_forecaster,18,0.20851776003837585,0.3457232117652893,-0.5252294774003862,-0.6127593909581724
flip_bucket,flip_up,patchtst_baseline,18,0.18942376971244812,0.3353092670440674,-0.7626179385567609,-0.7043629101250148
flip_bucket,flip_up,thread_transformer_baseline,18,0.17403262853622437,0.3286599814891815,-0.9512991039420174,-0.5930598504705155
flip_bucket,stable_nonzero,affect_state_forecaster,20,0.0923270434141159,0.12739278376102448,-0.07354439653000965,-0.06946077252096006
flip_bucket,stable_nonzero,patchtst_baseline,20,0.0919831171631813,0.1222863495349884,-0.5074632025509952,-0.3963794084076525
flip_bucket,stable_nonzero,thread_transformer_baseline,20,0.09253309667110443,0.11631208658218384,-0.33742826230623985,-0.37448416489561076
flip_bucket,stable_zero,affect_state_forecaster,42,0.07412192225456238,0.0764429122209549,nan,nan
flip_bucket,stable_zero,patchtst_baseline,42,0.08071623742580414,0.08224492520093918,nan,nan
flip_bucket,stable_zero,thread_transformer_baseline,42,0.10557172447443008,0.10860738158226013,nan,nan
length_bucket,long,affect_state_forecaster,32,0.06878280639648438,0.08468859642744064,0.1004871620185625,-0.06549238396817318
length_bucket,long,patchtst_baseline,32,0.07346600294113159,0.08957467973232269,0.16762859193850319,0.2721189404057722
length_bucket,long,thread_transformer_baseline,32,0.08717958629131317,0.10241751372814178,0.1649626432895203,0.2807363593489529
length_bucket,medium,affect_state_forecaster,34,0.11076870560646057,0.12995725870132446,-0.27197236147738313,-0.3183726699273003
length_bucket,medium,patchtst_baseline,34,0.10753411799669266,0.12265249341726303,0.17932173796178488,0.2468262842128685
length_bucket,medium,thread_transformer_baseline,34,0.11946868896484375,0.12941259145736694,0.15649833349791153,0.1406437508909612
length_bucket,short,affect_state_forecaster,26,0.14273487031459808,0.27724984288215637,-0.2725684251839562,-0.32542411511880115
length_bucket,short,patchtst_baseline,26,0.14213044941425323,0.27275845408439636,-0.21705973843528012,-0.12966392745246078
length_bucket,short,thread_transformer_baseline,26,0.1552865207195282,0.27652427554130554,-0.32922891562182766,-0.1959940693329143
target_bucket,high,affect_state_forecaster,6,0.5107886791229248,0.5983476042747498,-0.34626134736899705,-0.08827348295047496
target_bucket,high,patchtst_baseline,6,0.49036845564842224,0.583920419216156,-0.7840249343882018,-0.6567895774291853
target_bucket,high,thread_transformer_baseline,6,0.4684275686740875,0.575645923614502,-0.9532247814258282,-0.7356123579206245
target_bucket,low,affect_state_forecaster,7,0.015225820243358612,0.016621025279164314,0.1802248596727856,0.09009374626955591
target_bucket,low,patchtst_baseline,7,0.03424542024731636,0.03855280205607414,-0.33045409771006856,-0.5585812268712466
target_bucket,low,thread_transformer_baseline,7,0.061265815049409866,0.06384135037660599,-0.32942620650058346,-0.37839373433213486
target_bucket,mid,affect_state_forecaster,21,0.09972834587097168,0.11911550909280777,-0.2792674664249015,-0.26178817785261627
target_bucket,mid,patchtst_baseline,21,0.07833856344223022,0.10282362252473831,-0.5164253297400547,-0.31218240208924497
target_bucket,mid,thread_transformer_baseline,21,0.05799712613224983,0.07836532592773438,-0.33003715277944845,-0.30760110897682413
target_bucket,zero,affect_state_forecaster,58,0.07608075439929962,0.07815484702587128,nan,nan
target_bucket,zero,patchtst_baseline,58,0.08405906707048416,0.08553655445575714,nan,nan
target_bucket,zero,thread_transformer_baseline,58,0.11089251935482025,0.1135237067937851,nan,nan
